405	65.54	72.56	59.75	67.08	73.84	70.29	94.78	86.93	90.69	84.82
15	75.47	76.92	74.07	78.43	81.63	80.00	95.17	92.27	93.70	90.58
145	63.91	68.99	59.53	65.93	72.15	68.90	94.16	86.72	90.29	83.44
415	63.75	69.71	58.72	67.07	73.66	70.21	94.47	86.88	90.52	83.79
550	64.52	71.51	58.77	66.61	73.53	69.90	94.69	86.65	90.49	84.05
455	64.93	71.98	59.14	66.98	73.83	70.24	94.72	86.84	90.61	84.63
460	65.66	71.59	60.64	67.95	74.62	71.13	94.80	87.23	90.85	84.15
305	65.01	69.72	60.90	68.38	74.83	71.46	94.65	87.42	90.89	83.38
475	65.20	71.22	60.12	67.48	74.06	70.62	94.63	87.11	90.72	84.20
170	63.00	68.44	58.36	65.69	72.43	68.90	94.11	86.39	90.08	83.30
320	65.08	69.65	61.08	68.43	74.62	71.39	94.53	87.57	90.91	83.57
365	65.38	71.43	60.27	66.70	73.30	69.84	94.59	86.95	90.61	84.62
230	65.00	69.37	61.15	67.28	74.18	70.56	94.55	86.76	90.48	82.64
475	63.95	70.41	58.57	66.34	73.06	69.54	94.54	86.69	90.44	83.80
440	64.06	69.77	59.22	67.16	73.75	70.30	94.52	86.96	90.59	83.99
410	63.51	70.91	57.51	66.36	73.62	69.80	94.72	86.24	90.28	83.16
235	64.94	70.66	60.08	67.02	74.04	70.36	94.77	86.95	90.69	83.96
190	63.16	68.47	58.61	65.96	72.88	69.24	94.25	86.51	90.22	83.38
330	63.42	69.70	58.18	66.92	73.89	70.23	94.57	86.52	90.36	82.88
135	64.70	75.76	56.45	63.06	70.71	66.67	94.89	85.27	89.82	82.75
270	63.54	73.27	56.08	64.82	72.70	68.54	95.18	85.57	90.12	83.36
230	64.44	70.35	59.45	66.67	73.83	70.06	94.74	86.72	90.55	83.61
340	65.14	70.93	60.23	68.20	74.87	71.38	94.77	87.25	90.85	83.32
200	64.23	70.89	58.71	66.51	73.51	69.83	94.71	86.52	90.43	83.38
535	64.39	71.41	58.63	66.57	73.55	69.89	94.68	86.59	90.46	83.99
355	62.75	69.88	56.94	66.23	73.17	69.53	94.59	86.43	90.33	83.69
440	64.09	71.43	58.11	66.74	73.84	70.11	94.74	86.48	90.42	83.53
60	66.93	78.50	58.33	68.21	76.88	72.28	95.94	86.41	90.93	84.51
210	64.50	70.68	59.31	66.32	73.55	69.75	94.63	86.55	90.41	83.68
75	67.38	79.83	58.28	65.55	75.00	69.96	96.59	85.63	90.78	84.84
355	65.31	71.43	60.16	67.92	74.56	71.09	94.75	87.17	90.80	83.50
35	65.15	69.35	61.43	67.57	71.43	69.44	93.52	87.79	90.57	84.72
450	63.77	69.97	58.58	66.46	72.98	69.57	94.38	86.78	90.42	83.78
190	64.51	74.84	56.68	65.41	72.94	68.97	95.16	85.94	90.32	83.93
490	64.76	70.57	59.84	66.86	73.38	69.97	94.45	86.94	90.54	84.10
335	63.48	70.12	57.99	66.67	73.79	70.05	94.65	86.37	90.32	82.83
260	65.16	69.46	61.37	67.88	74.28	70.93	94.52	87.16	90.69	82.90
20	65.00	81.25	54.17	66.67	76.36	71.19	96.21	85.04	90.28	82.82
460	64.79	71.94	58.93	66.94	73.81	70.21	94.73	86.78	90.58	84.56
75	67.07	70.06	64.33	66.52	71.29	68.82	93.62	87.85	90.65	82.64
105	68.32	73.99	63.46	65.59	72.08	68.69	94.30	86.81	90.40	82.61
80	65.81	78.03	56.91	64.06	73.87	68.62	96.27	84.94	90.25	84.22
120	69.39	74.50	64.93	67.71	73.99	70.71	94.69	87.60	91.01	83.16
305	64.17	71.46	58.23	66.67	74.07	70.18	94.89	86.31	90.40	83.03
380	63.85	71.11	57.93	67.22	74.38	70.62	94.84	86.54	90.50	83.47
310	64.14	71.32	58.28	66.87	74.15	70.32	94.83	86.38	90.41	83.14
30	58.82	66.67	52.63	62.89	69.32	65.95	93.48	85.09	89.09	83.13
420	65.13	72.47	59.14	66.84	73.76	70.13	94.79	86.76	90.59	84.76
225	63.74	75.00	55.41	64.97	72.99	68.75	95.36	85.48	90.15	83.85
340	63.68	70.07	58.36	67.04	74.02	70.36	94.64	86.56	90.42	82.95
280	64.98	72.55	58.83	67.15	75.16	70.93	95.46	86.50	90.76	84.24
385	63.66	69.34	58.85	66.72	73.28	69.85	94.38	86.82	90.44	83.65
250	64.95	71.56	59.45	67.54	74.83	71.00	95.07	86.91	90.80	84.11
165	63.07	69.82	57.51	65.54	72.77	68.97	94.45	86.12	90.09	83.45
415	65.20	70.80	60.42	67.61	74.16	70.73	94.64	87.18	90.76	83.58
170	62.44	73.19	54.45	63.28	71.16	66.99	94.83	84.94	89.62	82.33
480	63.70	70.22	58.29	66.30	73.09	69.53	94.55	86.63	90.42	83.76
470	64.57	70.01	59.92	66.96	73.36	70.01	94.39	86.99	90.54	84.10
70	59.39	70.83	51.13	64.10	72.12	67.87	94.97	84.90	89.65	83.63
350	65.64	71.36	60.76	68.37	74.85	71.46	94.74	87.39	90.92	83.68
25	59.57	70.00	51.85	60.00	66.67	63.16	93.09	84.23	88.44	81.82
140	67.80	73.98	62.58	67.83	75.00	71.24	95.03	87.03	90.86	83.61
320	64.02	70.97	58.31	67.36	74.48	70.74	94.83	86.56	90.50	83.35
430	64.09	70.12	59.01	66.62	73.05	69.68	94.34	86.89	90.46	83.90
120	63.43	76.07	54.39	66.58	74.86	70.48	95.70	85.79	90.47	84.87
325	65.35	70.76	60.70	67.79	74.05	70.78	94.60	87.52	90.92	84.98
200	66.34	71.47	61.89	67.32	74.19	70.59	94.61	86.81	90.54	83.19
130	65.17	73.39	58.61	65.76	72.95	69.17	94.96	86.26	90.40	83.99
245	64.95	68.93	61.40	67.33	73.66	70.35	94.29	87.01	90.51	82.79
340	63.01	70.45	57.00	66.33	73.62	69.79	94.81	86.33	90.37	83.80
285	65.35	69.47	61.69	68.33	74.69	71.37	94.59	87.43	90.87	83.17
160	61.54	70.00	54.90	66.73	74.57	70.43	95.26	86.20	90.50	83.01
390	63.64	69.27	58.85	66.93	73.33	69.99	94.34	86.95	90.50	83.80
540	64.73	72.58	58.41	66.72	73.92	70.14	94.95	86.57	90.57	84.20
115	69.75	75.73	64.64	67.35	73.87	70.46	94.76	87.35	90.91	83.39
425	63.71	69.47	58.84	66.89	73.45	70.02	94.42	86.86	90.48	83.93
220	63.89	69.43	59.16	66.24	73.26	69.57	94.51	86.61	90.39	83.31
230	63.43	74.24	55.37	64.74	72.77	68.52	95.32	85.43	90.10	83.60
140	64.86	76.27	56.43	63.27	71.17	66.99	95.06	85.26	89.89	82.85
150	65.93	70.71	61.76	66.52	73.08	69.64	94.18	86.81	90.35	82.41
110	67.45	76.47	60.34	66.76	74.59	70.46	95.91	86.66	91.05	84.68
495	64.19	70.37	59.01	66.37	73.11	69.58	94.51	86.67	90.42	83.87
95	61.26	71.34	53.67	60.74	68.30	64.30	94.23	84.46	89.08	80.60
75	65.29	75.40	57.58	68.67	76.34	72.30	95.49	87.01	91.05	84.99
60	62.41	75.45	53.21	57.98	66.46	61.93	94.42	83.27	88.50	80.08
345	65.27	71.08	60.33	68.15	74.72	71.28	94.71	87.25	90.83	83.35
