405	62.97	66.85	59.51	64.64	69.18	66.83	92.90	87.35	90.04	83.08
15	70.97	62.86	81.48	75.56	69.39	72.34	89.37	94.69	91.95	86.96
145	61.30	62.81	59.87	62.70	66.34	64.47	91.71	87.12	89.35	81.38
415	63.32	65.26	61.49	65.76	69.78	67.71	92.65	87.94	90.24	82.71
550	63.14	67.17	59.57	64.85	69.84	67.25	93.17	87.18	90.08	82.84
455	62.54	66.63	58.92	64.64	69.55	67.00	93.07	87.17	90.02	83.01
460	62.68	66.27	59.47	64.50	69.56	66.93	93.15	87.13	90.04	82.30
305	62.66	65.45	60.10	65.38	70.34	67.77	93.19	87.48	90.24	81.84
475	62.38	66.20	58.98	64.40	69.55	66.88	93.18	87.04	90.01	82.49
170	61.99	64.05	60.06	64.61	69.42	66.93	92.65	86.96	89.72	82.06
320	62.56	65.17	60.15	65.21	69.83	67.44	93.00	87.58	90.21	81.95
365	62.98	66.11	60.14	64.81	69.15	66.91	92.80	87.56	90.10	82.96
230	64.85	66.59	63.19	66.62	71.07	68.77	93.29	88.16	90.65	81.94
475	62.23	65.59	59.19	64.64	69.37	66.92	92.93	87.25	90.00	82.37
440	63.44	65.37	61.63	65.62	69.70	67.60	92.71	87.89	90.24	82.88
410	61.90	67.83	56.92	63.85	69.97	66.77	93.53	86.18	89.71	82.15
235	62.53	65.68	59.67	64.54	70.06	67.19	93.22	86.83	89.91	82.31
190	61.68	64.17	59.38	64.11	69.44	66.67	92.89	86.71	89.69	82.06
330	60.65	65.40	56.55	62.96	68.58	65.65	92.96	86.12	89.41	81.28
135	63.54	72.13	56.77	61.37	68.34	64.67	93.80	85.16	89.27	81.75
270	62.79	68.40	58.02	63.45	68.95	66.09	93.20	86.47	89.71	82.22
230	62.14	65.34	59.24	64.35	69.89	67.01	93.15	86.71	89.81	81.96
340	63.09	66.93	59.66	65.20	70.44	67.72	93.40	87.26	90.22	81.93
200	60.88	64.36	57.76	62.28	67.19	64.64	92.34	86.27	89.20	81.14
535	62.81	66.56	59.45	64.51	69.37	66.85	92.99	87.14	89.97	82.61
355	64.15	66.62	61.85	66.52	70.67	68.53	92.99	88.04	90.45	83.32
440	62.63	68.35	57.79	64.00	69.90	66.82	93.52	86.44	89.84	82.56
60	62.50	71.43	55.56	62.37	69.94	65.94	94.03	85.06	89.32	82.09
210	63.39	66.33	60.69	65.04	70.41	67.62	93.15	87.00	89.97	82.47
75	66.01	71.43	61.35	61.33	66.35	63.74	92.81	86.44	89.51	83.03
355	63.14	66.92	59.76	64.81	69.92	67.27	93.23	87.20	90.11	81.98
35	65.71	65.71	65.71	70.48	70.48	70.48	92.36	90.76	91.55	84.05
450	61.66	64.82	58.80	64.39	68.95	66.59	92.73	87.22	89.89	82.18
190	63.23	69.97	57.67	62.98	68.74	65.73	93.32	86.14	89.59	82.72
490	62.79	65.56	60.24	64.65	69.10	66.80	92.77	87.44	90.03	82.57
335	61.31	66.16	57.12	63.23	68.87	65.93	93.06	86.23	89.52	81.45
260	63.79	66.20	61.55	65.43	70.18	67.72	93.21	87.65	90.34	81.79
20	58.82	67.57	52.08	50.00	56.36	52.99	91.86	82.39	86.86	78.53
460	62.81	66.95	59.15	64.87	69.79	67.24	93.14	87.24	90.09	83.11
75	64.46	66.46	62.57	65.45	68.90	67.13	92.97	87.95	90.39	81.03
105	69.35	72.88	66.15	65.68	70.32	67.92	93.80	88.06	90.84	82.73
80	65.06	71.52	59.67	60.49	66.22	63.23	92.97	85.79	89.23	82.89
120	69.12	73.44	65.28	66.48	71.83	69.05	94.34	87.95	91.03	82.86
305	61.51	67.29	56.65	62.95	69.21	65.93	93.44	85.87	89.50	81.50
380	61.46	67.53	56.39	63.95	70.01	66.84	93.49	86.18	89.68	82.18
310	61.03	66.48	56.41	62.77	68.82	65.66	93.20	85.87	89.39	81.36
30	54.55	56.60	52.63	55.32	59.09	57.14	90.35	84.84	87.51	79.92
420	62.77	67.03	59.02	64.72	69.52	67.03	93.10	87.24	90.08	83.15
225	62.51	70.00	56.48	63.15	69.29	66.08	93.61	85.98	89.63	82.65
340	61.53	66.17	57.49	63.66	69.18	66.30	93.07	86.43	89.63	81.58
280	64.27	67.31	61.48	66.21	71.55	68.78	93.52	87.49	90.41	83.01
385	61.00	63.31	58.85	63.77	68.10	65.86	92.35	87.17	89.69	81.68
250	63.21	66.74	60.04	65.43	70.95	68.08	93.43	87.09	90.15	82.70
165	61.56	64.06	59.25	64.09	69.02	66.47	92.64	86.71	89.57	81.82
415	62.81	66.54	59.49	64.10	69.28	66.59	93.14	87.00	89.96	82.07
170	62.59	70.00	56.60	62.52	68.88	65.55	93.49	85.62	89.38	81.75
480	62.15	65.64	59.01	64.65	69.51	66.99	93.01	87.20	90.01	82.42
470	62.90	65.08	60.87	64.95	69.12	66.97	92.64	87.67	90.09	82.64
70	60.66	66.67	55.64	63.39	68.27	65.74	93.13	86.74	89.82	83.10
350	63.03	66.62	59.81	65.00	70.06	67.44	93.21	87.27	90.14	82.01
25	54.55	60.00	50.00	50.63	55.56	52.98	90.54	83.03	86.62	78.47
140	67.21	70.21	64.47	66.67	71.65	69.07	93.90	88.17	90.94	82.65
320	60.53	65.65	56.15	62.94	68.70	65.69	93.01	86.00	89.37	81.40
430	61.37	64.48	58.55	64.26	68.82	66.46	92.67	87.16	89.83	82.06
120	63.96	70.16	58.77	64.02	68.36	66.12	92.96	87.09	89.93	84.02
325	63.80	66.10	61.66	65.90	69.64	67.72	92.71	88.15	90.37	83.67
200	63.60	66.75	60.74	65.06	70.07	67.47	93.35	87.34	90.25	81.40
130	63.42	67.63	59.71	63.01	67.49	65.17	92.71	86.94	89.73	82.40
245	64.66	66.46	62.96	66.26	70.48	68.30	93.05	88.11	90.51	82.14
340	64.05	66.46	61.81	66.19	70.39	68.23	92.93	87.93	90.36	83.20
285	63.17	65.28	61.19	65.24	69.85	67.47	93.02	87.66	90.26	81.64
160	63.01	68.73	58.17	64.26	69.57	66.81	93.58	86.89	90.11	83.09
390	61.09	63.22	59.11	64.14	68.25	66.13	92.29	87.36	89.76	81.87
540	63.40	67.73	59.58	65.07	70.09	67.49	93.27	87.24	90.16	82.93
115	69.07	73.68	65.00	65.67	70.97	68.22	94.10	87.71	90.80	82.75
425	63.08	65.07	61.21	65.36	69.51	67.37	92.65	87.77	90.14	82.82
220	62.61	65.16	60.26	65.01	70.25	67.53	93.06	87.04	89.95	82.04
230	62.82	69.33	57.44	63.21	69.14	66.04	93.46	86.20	89.68	82.54
140	63.97	72.80	57.05	61.78	68.88	65.14	94.00	85.26	89.42	81.97
150	65.96	68.24	63.82	64.86	69.23	66.98	93.07	87.87	90.39	81.85
110	63.95	69.12	59.49	61.82	66.45	64.05	92.62	86.52	89.47	82.35
495	62.49	66.15	59.21	64.41	69.42	66.82	93.08	87.06	89.97	82.58
95	62.97	69.83	57.34	61.09	67.55	64.16	93.51	85.26	89.19	80.73
75	63.55	70.90	57.58	65.85	72.32	68.94	94.17	86.72	90.29	83.80
60	63.77	73.33	56.41	56.99	64.63	60.57	93.73	83.65	88.40	80.08
345	62.81	66.51	59.50	65.00	70.15	67.48	93.24	87.20	90.12	81.73
50	60.22	67.47	54.37	59.24	65.03	62.00	92.77	85.16	88.80	81.50
90	61.99	67.65	57.21	63.67	69.70	66.55	93.34	86.04	89.54	82.26
30	66.04	67.31	64.81	73.40	75.00	74.19	94.03	91.29	92.64	85.77
440	62.28	66.20	58.80	64.62	69.39	66.92	92.95	87.18	89.98	82.84
470	62.40	66.16	59.05	64.45	69.55	66.90	93.17	87.07	90.02	82.53
450	63.38	65.60	61.31	65.31	69.43	67.31	92.67	87.77	90.15	82.87
265	63.03	66.39	60.00	65.62	71.09	68.25	93.41	87.15	90.17	82.80
210	61.35	64.80	58.26	62.69	67.61	65.06	92.44	86.37	89.30	81.44
495	62.33	66.63	58.55	64.29	69.57	66.82	93.28	86.92	89.99	82.56
280	60.93	67.14	55.76	61.98	68.45	65.05	93.32	85.40	89.19	80.95
135	62.80	66.67	59.36	62.41	66.84	64.55	92.47	86.80	89.55	82.06
530	63.05	66.91	59.62	64.61	69.66	67.04	93.14	87.09	90.02	82.70
120	63.26	71.56	56.69	60.92	67.87	64.20	93.77	85.04	89.19	80.86
515	62.67	66.74	59.07	64.58	69.82	67.10	93.28	87.02	90.04	82.54
205	62.69	65.45	60.14	65.01	70.37	67.58	93.11	86.99	89.94	82.40
155	65.47	68.22	62.93	64.64	69.30	66.89	93.12	87.64	90.30	81.72
535	63.44	67.74	59.65	65.09	70.17	67.53	93.30	87.24	90.16	82.93
275	61.05	66.94	56.11	62.04	68.31	65.02	93.21	85.52	89.20	80.96
360	63.33	66.67	60.30	64.94	69.34	67.07	92.86	87.57	90.14	83.16
455	63.16	65.00	61.43	65.27	69.25	67.20	92.55	87.85	90.14	82.76
545	63.06	67.00	59.55	64.67	69.62	67.05	93.10	87.15	90.03	82.71
425	61.41	64.19	58.85	64.56	68.97	66.69	92.64	87.32	89.90	82.19
480	62.63	67.29	58.59	64.30	69.77	66.92	93.30	86.77	89.91	82.50
100	68.24	71.95	64.90	65.17	70.00	67.50	93.78	87.75	90.66	82.25
535	63.14	66.94	59.74	64.69	69.65	67.08	93.12	87.17	90.04	82.77
350	61.70	66.56	57.50	63.95	69.48	66.60	93.17	86.50	89.71	82.01
500	63.06	67.69	59.03	64.97	70.10	67.44	93.29	87.14	90.11	83.12
190	64.20	68.45	60.45	65.08	69.84	67.37	93.40	87.55	90.38	83.55
235	61.23	66.51	56.73	62.33	68.11	65.09	93.03	85.81	89.28	81.51
205	62.91	70.11	57.05	62.62	68.72	65.53	93.50	85.89	89.53	82.37
155	62.89	69.64	57.33	63.51	69.06	66.17	93.60	86.48	89.90	83.10
270	60.90	66.32	56.31	62.41	68.46	65.29	93.10	85.74	89.27	81.11
525	62.77	66.91	59.10	64.76	69.91	67.24	93.28	87.08	90.07	82.62
120	63.33	68.16	59.14	62.26	66.86	64.48	92.61	86.58	89.50	82.45
200	62.61	65.00	60.39	64.54	69.78	67.05	92.93	86.95	89.84	82.28
490	62.50	66.22	59.18	64.63	69.61	67.03	93.12	87.13	90.03	82.60
75	65.00	75.36	57.14	59.66	67.80	63.47	94.63	84.09	89.05	81.55
270	63.96	67.28	60.96	66.15	71.57	68.76	93.53	87.39	90.35	83.11
390	63.17	64.76	61.66	66.23	70.10	68.11	92.65	88.12	90.33	82.83
285	64.16	66.60	61.89	65.65	69.50	67.52	92.80	88.11	90.39	83.92
95	65.63	70.17	61.65	62.46	66.67	64.49	92.62	87.08	89.77	83.25
25	62.22	63.64	60.87	72.50	74.36	73.42	93.86	90.64	92.22	84.75
445	62.37	66.46	58.75	64.52	69.44	66.89	93.03	87.11	89.97	82.85
30	67.18	74.58	61.11	64.84	68.60	66.67	92.98	87.09	89.94	82.66
20	63.89	69.70	58.97	70.77	73.02	71.88	93.96	89.74	91.80	85.31
275	62.80	68.29	58.13	63.23	68.70	65.85	93.13	86.47	89.68	82.18
160	61.92	64.52	59.52	64.60	69.46	66.94	92.74	86.82	89.68	81.86
210	62.79	70.17	56.82	62.58	68.72	65.50	93.55	85.86	89.54	82.49
440	63.33	66.83	60.18	64.71	69.68	67.10	93.18	87.31	90.15	82.42
150	63.07	72.01	56.10	61.37	68.42	64.71	93.70	84.88	89.07	81.28
30	65.42	64.81	66.04	66.29	67.05	66.67	90.77	89.87	90.32	85.08
255	61.15	66.01	56.95	62.10	68.06	64.94	93.01	85.72	89.22	81.17
510	63.35	67.80	59.44	64.96	70.03	67.40	93.26	87.20	90.13	83.10
370	63.62	65.46	61.89	66.75	70.62	68.63	92.79	88.24	90.46	83.19
160	61.28	63.14	59.52	62.81	66.81	64.75	91.97	86.96	89.39	81.26
340	63.25	65.95	60.76	65.66	69.81	67.67	92.85	87.91	90.31	83.55
295	61.17	67.12	56.20	62.19	68.64	65.25	93.37	85.53	89.28	81.04
360	61.02	66.24	56.56	63.58	69.33	66.33	93.18	86.23	89.57	81.96
460	62.35	67.78	57.73	63.84	69.71	66.64	93.46	86.44	89.81	82.48
300	63.74	65.32	62.24	65.91	69.51	67.66	92.66	88.33	90.44	83.68
180	64.00	67.04	61.22	65.00	70.06	67.44	93.27	87.46	90.27	81.38
435	62.51	68.24	57.68	63.86	69.78	66.69	93.49	86.37	89.79	82.39
35	63.64	62.69	64.62	66.99	68.32	67.65	91.12	89.69	90.40	83.33
10	64.00	61.54	66.67	51.72	53.57	52.63	88.77	87.32	88.04	80.65
235	65.64	67.37	64.00	67.00	71.49	69.17	93.42	88.31	90.79	82.28
335	63.47	65.73	61.36	65.54	69.49	67.46	92.73	88.00	90.30	83.53
125	63.95	71.21	58.02	63.71	68.58	66.05	93.24	86.73	89.87	83.87
465	63.09	65.26	61.07	65.07	69.20	67.07	92.62	87.73	90.10	82.71
430	63.11	65.02	61.31	65.24	69.41	67.26	92.65	87.75	90.13	82.65
